"ben";"kann ich jetzt nicht mehr zum händler gehen ?";-1
"ben";"hammer auto";1
"ben";"passt zu x1";0
"ben";"bmw macht vorsprung !";1
"ben";"sehr gelungen auf jeden fall";1
"ben";"jedoch diese riesen haube schreit danach aus platzgründen nochmal 4 töpfchen nachzulegen ;)";-1
"ben";"*lechts lechts* hab mich soeben neu verliebt !";1
"ben";"sonnebrille und wech";1
"ben";"e10 verursacht mehr spritverbrauch und weniger leistung .";-1
"ben";"allerdings versuche ich von nun an super e10 zu tanken .";0
"ben";"motorschaden weniger , jedoch frisst dieses ätzende zeug dir langsam die ganzen schläuche durch .";-1
"ben";"auch wenn es günstiger ist .";0
"ben";"e10 ist doch eine riesen verarsche !";-1
"ben";"die neuesten nachrichten sind da ja auch nicht zum freuen !";-1
"ben";"@bmw ihr müsst sowas nicht unterstützen !";-1
"ben";"ichg bleib also beim super+ !";0
"ben";"bis 7% soll ja nichts ausmachen .";0
"ben";"tanke auch nur super scheiß bio war in der bmw werkstadt meinten wenn ich dass bio tranke kann ich gleich gegend denn baum fahren";-1
"ben";"i8 ist sooooo hammer :)";1
"ben";"mit worten nicht zu beschreiben wie schön ich das finde !";1
"ben";"wir japaner magen dises auto sehr gern .";1
"ben";"danke";1
"ben";"bauen auch tolle autos !";1
"ben";"ein kein wort zum e36 .";0
"ben";"herzlichen glückwunsch !";1
"ben";"woran liegt das ?";0
"ben";"nicht markenabhängig .";0
"ben";"alter schwede !";1
"ben";"mal schaun was g power mit den dingen anstellt ;)";0
"ben";"traum auto";1
"ben";"rockn roll";1
"ben";"was für ein auto .";1
"ben";"sorry";0
"ben";"<3 <3 <3";1
"ben";"e30 is einfach der beste 3er der je gebaut wurde !";1
"ben";"bmw ist meine marke , vorallem das modell e30";1
"ben";"das war wirklich ein erlebnis , vor allem bmw on demand !";1
"ben";"das flugzeug hier ist eine antonov an-2";0
"ben";"nice cool (beide :)";1
"ben";"mit head-up display und sprachsteuerung geht das schon .";0
"ben";"hehe .";1
"ben";"ich habe ein smartphone , mit android , das reicht .";0
"ben";"nur kostenlose dienste wenn überhaupt :)";1
"ben";"google maps , skype konferenzen und emailclient mit vorlese und diktatfunktion !";0
